id,season,speed_difference,pass_difference,diffrenceWins,diffrenceGoals,overall_rating_difference,potential_difference,chance_creations_difference,defence_pressure_difference,defence_aggression_difference,goal_difference,diffrenceDaysBeforeLastGame,home_status
1,2008/2009,11.0,-1.0,0.0,0.0,0.0,0.0,7.0,-9.0,11.0,0,0.0,D
2,2008/2009,-8.0,-1.0,0.0,0.0,0.0,0.0,-30.0,-1.0,6.0,0,0.0,D
3,2008/2009,1.0,-8.0,0.0,0.0,0.0,0.0,-5.0,6.0,-3.0,-3,0.0,L
4,2008/2009,-5.0,-18.0,0.0,0.0,0.0,0.0,-12.0,3.0,9.0,5,0.0,W
5,2008/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,0.0,L
6,2008/2009,10.0,-5.0,-1.0,-7.0,0.0,0.0,3.0,-9.0,1.0,0,1.0,D
7,2008/2009,23.0,13.0,0.0,0.0,0.0,0.0,10.0,19.0,25.0,0,0.0,D
8,2008/2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,L
9,2008/2009,-8.0,-3.0,0.0,0.0,0.0,0.0,-16.0,9.0,-3.0,1,0.0,W
10,2008/2009,0.0,-2.0,3.0,13.0,0.0,0.0,17.0,5.0,5.0,3,-5.0,W
11,2008/2009,-6.0,9.0,3.0,10.0,0.0,0.0,12.0,6.0,6.0,-1,-1.0,L
12,2008/2009,4.0,14.0,0.0,-5.0,0.0,0.0,-2.0,-5.0,4.0,-2,-3.0,L
13,2008/2009,7.0,-3.0,1.0,10.0,0.0,0.0,16.0,-1.0,7.0,0,0.0,D
14,2008/2009,0.0,0.0,-3.0,-9.0,0.0,0.0,0.0,0.0,0.0,0,0.0,D
15,2008/2009,-13.0,-20.0,2.0,4.0,0.0,0.0,10.0,-23.0,-19.0,-1,0.0,L
16,2008/2009,-3.0,7.0,2.0,9.0,0.0,0.0,8.0,-14.0,-2.0,-1,1.0,L
17,2008/2009,0.0,0.0,-4.0,-16.0,0.0,0.0,0.0,0.0,0.0,-2,1.0,L
18,2008/2009,-5.0,-12.0,-5.0,-12.0,0.0,0.0,2.0,-8.0,-4.0,-2,0.0,L
19,2008/2009,-10.0,-1.0,4.0,9.0,0.0,0.0,-15.0,8.0,-2.0,-1,-1.0,L
20,2008/2009,5.0,5.0,-3.0,-10.0,0.0,0.0,-4.0,1.0,0.0,0,0.0,D
21,2008/2009,18.0,8.0,-3.0,-13.0,0.0,0.0,1.0,-12.0,-2.0,0,1.0,D
22,2008/2009,-1.0,-8.0,0.0,-3.0,0.0,0.0,10.0,15.0,-11.0,2,1.0,W
23,2008/2009,0.0,0.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,D
24,2008/2009,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,L
